dstipint;-1;dstport;0;1
dstipint;921055388;dstport;443;1
dstipint;676988105;dstport;53;2
dstipint;3224678942;dstport;53;3
dstipint;177049701;dstport;53;4
dstipint;3224001822;dstport;53;5
dstipint;2637662080;dstport;443;6
dstipint;2637662084;dstport;443;7
dstipint;3224851230;dstport;53;8
dstipint;172951983;dstport;0;9
dstipint;2899905294;dstport;443;10
dstipint;3455828902;dstport;53;11
dstipint;174278677;dstport;443;12
dstipint;2899905294;dstport;53;13
dstipint;172230484;dstport;53;14
dstipint;676988105;dstport;443;15
dstipint;3224678942;dstport;443;16
dstipint;2461577074;dstport;80;17
dstipint;172950125;dstport;5723;18
dstipint;177049701;dstport;443;19
dstipint;-1;srcipint;176999454;11
dstipint;-1;srcipint;172234884;12
dstipint;-1;srcipint;172280416;13
dstipint;-1;srcipint;172280418;14
dstipint;-1;srcipint;176965941;1
dstipint;921055388;srcipint;2461577758;2
dstipint;-1;srcipint;176965924;3
dstipint;-1;srcipint;172230581;4
dstipint;-1;srcipint;176949385;5
dstipint;-1;srcipint;177049810;6
dstipint;-1;srcipint;177025076;7
dstipint;-1;srcipint;176951585;8
dstipint;-1;srcipint;172236990;9
dstipint;-1;srcipint;177035385;10
dstipint;-1;srcipint;172237199;15
dstipint;-1;srcipint;176947213;15
dstipint;-1;srcipint;176947212;16
dstipint;-1;srcipint;177053749;16
dstipint;-1;srcipint;172232790;17
dstipint;-1;srcipint;177049703;18
dstipint;-1;srcport;0;1
dstipint;-1;srcport;50740;1
dstipint;-1;srcport;59010;2
dstipint;-1;srcport;56213;3
dstipint;-1;srcport;55370;4
dstipint;-1;srcport;63312;5
dstipint;-1;srcport;63571;6
dstipint;-1;srcport;64308;7
dstipint;-1;srcport;57277;8
dstipint;172951983;srcport;0;9
dstipint;-1;srcport;53679;10
dstipint;-1;srcport;48914;11
dstipint;-1;srcport;48176;12
dstipint;-1;srcport;55311;13
dstipint;-1;srcport;53150;14
dstipint;-1;srcport;58114;15
dstipint;-1;srcport;48350;16
dstipint;176949369;srcport;0;17
dstipint;176949370;srcport;0;18
dstipint;2461573754;srcport;0;19
dstport;0;srcipint;-1;1
dstport;445;srcipint;173041620;1
dstport;0;srcipint;176965941;2
dstport;445;srcipint;2461577758;2
dstport;0;srcipint;176965924;3
dstport;0;srcipint;172230581;4
dstport;0;srcipint;176949385;5
dstport;0;srcipint;177049810;6
dstport;0;srcipint;172236990;7
dstport;0;srcipint;177025076;8
dstport;0;srcipint;176951585;9
dstport;0;srcipint;172234884;10
dstport;0;srcipint;177053749;11
dstport;0;srcipint;172280416;12
dstport;0;srcipint;172280418;13
dstport;0;srcipint;177035385;14
dstport;0;srcipint;172232790;15
dstport;0;srcipint;176999454;16
dstport;0;srcipint;177049703;17
dstport;0;srcipint;172232791;18
dstport;0;srcport;50740;1
dstport;0;srcport;56213;2
dstport;0;srcport;59010;3
dstport;0;srcport;55370;4
dstport;0;srcport;63571;5
dstport;0;srcport;63312;6
dstport;0;srcport;64308;7
dstport;53;srcport;55370;8
dstport;0;srcport;57277;9
dstport;53;srcport;59527;10
dstport;53;srcport;80;11
dstport;53;srcport;50740;12
dstport;0;srcport;53679;13
dstport;443;srcport;54383;14
dstport;443;srcport;52739;15
dstport;443;srcport;59527;16
dstport;0;srcport;48176;17
dstport;5060;srcport;5081;18
dstport;443;srcport;56981;19
dstport;53;srcport;52739;20
srcipint;-1;srcport;0;1
srcipint;176951317;srcport;50740;1
srcipint;176951317;srcport;56213;2
srcipint;176951317;srcport;55370;3
srcipint;176951317;srcport;59010;4
srcipint;176951317;srcport;63312;5
srcipint;176951317;srcport;63571;6
srcipint;176951317;srcport;64308;7
srcipint;176951317;srcport;55311;8
srcipint;172236990;srcport;0;9
srcipint;172230581;srcport;0;10
srcipint;176965924;srcport;0;11
srcipint;172234884;srcport;0;12
srcipint;172232790;srcport;0;13
srcipint;176949385;srcport;0;14
srcipint;176947211;srcport;0;15
srcipint;172280418;srcport;0;16
srcipint;172280416;srcport;0;17
srcipint;172232791;srcport;0;18
srcipint;177049725;srcport;57277;19
dstipint;176949369;eventname;accept;15
dstipint;-1;eventname;sshd;1
dstipint;-1;eventname;system;1
dstipint;921055388;eventname;accept;1
dstipint;676988105;eventname;accept;2
dstipint;-1;eventname;Success Audit;2
dstipint;174278677;eventname;permitted;3
dstipint;2887713026;eventname;accept;4
dstipint;177049701;eventname;accept;5
dstipint;2899905294;eventname;accept;6
dstipint;3224678942;eventname;accept;7
dstipint;172950125;eventname;accept;8
dstipint;176949371;eventname;accept;9
dstipint;3224001822;eventname;accept;10
dstipint;176949370;eventname;accept;11
dstipint;3221554718;eventname;accept;12
dstipint;2637662080;eventname;accept;13
